feature,mean_abs_importance
appearance_rate,0.018870783355372144
days_since_last,0.012295790124246257
0.05,0.010716237999652437
0.06,0.010539123377572566
current_gap,0.004486218573724089
13.50,0.0032044744599985468
6.00,0.0030046972034977904
frequency_all_time,0.0014670393946039795
temperature_score,0.001416074116840633
draw_sequence,0.0013351994581103487
474.00,0.001314370686837518
17.31,0.0012945719350975283
frequency_last_30,0.0012748689995828405
0.00,0.0012442519276855866
1.00,0.0011561813394023747
draw_id,0.0011459058015963735
day_of_week,0.0011312622667042924
max_gap,0.001049963534946984
frequency_last_10,0.001048651278985719
frequency_last_50,0.0010404088565369126
167.00,0.0010052025456770593
week_of_year,0.0009776459163143535
month,0.000961177922550418
trend=0,0.0009601253632521853
3.33,0.0009366227673408973
18.57,0.0009122286867863688
2320.75,0.000865462948981876
3.00,0.0008076329340814571
min_gap,0.0007562712959330653
4.00,0.0007474494189371747
is_hot,0.0007471169321508006
15.00,0.0007384490609898473
trend=2,0.0007178044860772905
std_gap,0.000641198022357217
26.00,0.0005862933501314891
mean_gap,0.0005340341593068877
trend=1,0.0004569906677020561
