feature,mean_abs_importance,importance_normalized_lime,importance_normalized_shap
appearance_rate,0.018870783355372144,100.0,100.0
days_since_last,0.012295790124246257,65.15781508744779,64.51341010221394
0.05,0.010716237999652437,56.787457085620844,0.0
0.06,0.010539123377572566,55.848891797977664,0.0
current_gap,0.004486218573724089,23.773356353258915,22.432621113575273
13.50,0.0032044744599985468,16.981141692171963,0.0
6.00,0.0030046972034977904,15.922482638445487,0.0
frequency_all_time,0.0014670393946039795,7.77413087192452,9.143955102836006
temperature_score,0.001416074116840633,7.504055820965716,14.257672838129798
draw_sequence,0.0013351994581103487,7.075485065808058,37.77860235924167
474.00,0.001314370686837518,6.965109301958799,0.0
17.31,0.0012945719350975283,6.860191814607362,0.0
frequency_last_30,0.0012748689995828405,6.7557820763169865,18.705749140578366
0.00,0.0012442519276855866,6.593536178408685,0.0
1.00,0.0011561813394023747,6.126832774396896,0.0
draw_id,0.0011459058015963735,6.072380674489363,23.76047148330586
day_of_week,0.0011312622667042924,5.994781697190351,0.5519208375925659
max_gap,0.001049963534946984,5.563963695487394,8.692739711019955
frequency_last_10,0.001048651278985719,5.557009792533007,25.914607846260946
frequency_last_50,0.0010404088565369126,5.513331571583797,9.711025074025851
167.00,0.0010052025456770593,5.326766391978623,0.0
week_of_year,0.0009776459163143535,5.180738382204132,1.7625633886616219
month,0.000961177922550418,5.09347123778404,2.8033965831829826
trend=0,0.0009601253632521853,5.087893518627336,0.0
3.33,0.0009366227673408973,4.963348631069198,0.0
18.57,0.0009122286867863688,4.834079590695291,0.0
2320.75,0.000865462948981876,4.5862587296117505,0.0
3.00,0.0008076329340814571,4.279806083680886,0.0
min_gap,0.0007562712959330653,4.007630640928161,0.1903013897807257
4.00,0.0007474494189371747,3.96088177613671,0.0
is_hot,0.0007471169321508006,3.9591198631301707,2.5929167282985097
15.00,0.0007384490609898473,3.9131871056090803,0.0
trend=2,0.0007178044860772905,3.8037874345738043,0.0
std_gap,0.000641198022357217,3.397834685938888,7.42943358743043
26.00,0.0005862933501314891,3.1068840073593598,0.0
mean_gap,0.0005340341593068877,2.8299522560882915,15.799102654950781
trend=1,0.0004569906677020561,2.421683610563839,0.0
is_cold,0.0,0.0,0.0
is_weekend,0.0,0.0,0.0
trend,0.0,0.0,0.0
