iterations,learning_rate,depth,f1_score,precision,recall,roc_auc,best_iteration
500,0.01,6,0.25918140225052555,0.3265814895606108,0.21484214842148422,0.6091824199261848,13
1000,0.01,6,0.25918140225052555,0.3265814895606108,0.21484214842148422,0.6091824199261848,13
1500,0.01,6,0.25918140225052555,0.3265814895606108,0.21484214842148422,0.6091824199261848,13
1000,0.01,8,0.2575794922356421,0.32292954264524104,0.21422714227142273,0.6090167684140165,27
1500,0.01,8,0.2575794922356421,0.32292954264524104,0.21422714227142273,0.6090167684140165,27
500,0.01,8,0.2575794922356421,0.32292954264524104,0.21422714227142273,0.6090167684140165,27
500,0.05,6,0.2553341978073795,0.30041608876560333,0.2220172201722017,0.6101020470082154,100
1000,0.05,6,0.2553341978073795,0.30041608876560333,0.2220172201722017,0.6101020470082154,100
1500,0.05,6,0.2553341978073795,0.30041608876560333,0.2220172201722017,0.6101020470082154,100
1000,0.01,4,0.25334900117508813,0.29680616740088106,0.22099220992209923,0.6087850586056087,320
500,0.01,4,0.25334900117508813,0.29680616740088106,0.22099220992209923,0.6087850586056087,320
1500,0.01,4,0.25334900117508813,0.29680616740088106,0.22099220992209923,0.6087850586056087,320
500,0.05,4,0.25025687863911406,0.28240144292708064,0.22468224682246823,0.609625881947855,257
1500,0.05,4,0.25025687863911406,0.28240144292708064,0.22468224682246823,0.609625881947855,257
1000,0.05,4,0.25025687863911406,0.28240144292708064,0.22468224682246823,0.609625881947855,257
1500,0.1,4,0.2478399272396544,0.2782031648800408,0.22345223452234522,0.6093709776062587,40
1000,0.1,4,0.2478399272396544,0.2782031648800408,0.22345223452234522,0.6093709776062587,40
500,0.1,4,0.2478399272396544,0.2782031648800408,0.22345223452234522,0.6093709776062587,40
500,0.05,8,0.22625439733382707,0.20627954085077652,0.25051250512505124,0.6033585267361541,285
1000,0.05,8,0.22625439733382707,0.20627954085077652,0.25051250512505124,0.6033585267361541,285
1500,0.05,8,0.22625439733382707,0.20627954085077652,0.25051250512505124,0.6033585267361541,285
500,0.1,6,0.19456617002629273,0.144952285283777,0.2958179581795818,0.6050669098645856,496
1500,0.1,6,0.1892013643091576,0.13788575180564674,0.3013530135301353,0.60379434934248,601
1000,0.1,6,0.1892013643091576,0.13788575180564674,0.3013530135301353,0.60379434934248,601
500,0.1,8,0.18629646215853113,0.13540407328187481,0.2984829848298483,0.5971822285241057,432
1000,0.1,8,0.18629646215853113,0.13540407328187481,0.2984829848298483,0.5971822285241057,432
1500,0.1,8,0.18629646215853113,0.13540407328187481,0.2984829848298483,0.5971822285241057,432
